"Please set the orderID","Order #%1 no longer exists."
"This order no longer exists.","Order #%1 no longer exists."
"Addressee name","Címzett neve"
"Addressee telephone","Címzett telefonszáma"
"Addressee email","Címzett email címe"
"Addressee machine","Átvételi automata"
"City","Település"
"Postcode","Irányítószám"
"Street","Utca, házszám"
"Grand total","Utánvételi összeg"
"Package size","Csomag méret"
"Courier details","Futár információk"
"Personal details","Saját adatok"
"Label print","Címkenyomtatás"
"Fragile","Törékeny"
"Custom bar code","Egyedi vonalkód"
"Reference code","Referencia kód"
